OAK,PDX,451
TUS,SEA,444
SEA,TUS,443
PDX,OAK,438
ANC,ORD,366
BOS,PDX,366
DCA,LAX,366
HNL,SEA,366
LAX,DCA,366
LAX,SFO,366
LIH,SEA,366
MIA,SEA,366
ORD,ANC,366
PDX,BOS,366
SEA,HNL,366
SEA,LIH,366
SEA,MIA,366
SFO,LAX,366
ANC,OME,365
KTN,SIT,365
SIT,KTN,365
BRW,ANC,364
BRW,FAI,364
FAI,BRW,364
FAI,SCC,364
JNU,KTN,364
KTN,WRG,364
PSG,JNU,364
SCC,BRW,364
WRG,PSG,364
ANC,SCC,363
CDV,ANC,363
JNU,PSG,363
JNU,YAK,363
PSG,WRG,363
SCC,ANC,363
WRG,KTN,363
YAK,CDV,363
ANC,CDV,362
CDV,YAK,362
KTN,JNU,362
YAK,JNU,362
OME,OTZ,361
