ANC,SEA,5536
SEA,ANC,5534
LAX,SEA,4692
SEA,LAX,4681
ANC,FAI,3217
SEA,SFO,2869
SFO,SEA,2866
SNA,SEA,2862
SEA,SNA,2860
FAI,ANC,2853
LAS,SEA,2665
SEA,LAS,2665
SEA,SAN,2608
SAN,SEA,2606
SEA,OAK,2344
OAK,SEA,2333
PHX,SEA,2171
SEA,PHX,2170
SEA,SJC,2145
SJC,SEA,2145
SEA,SMF,1917
SMF,SEA,1917
GEG,SEA,1704
SEA,GEG,1704
PDX,LAX,1527
LAX,PDX,1514
DEN,SEA,1422
SEA,DEN,1422
PDX,SNA,1421
SNA,PDX,1418
BUR,SEA,1390
SEA,BUR,1390
LAS,PDX,1357
PDX,LAS,1357
PDX,SAN,1352
SAN,PDX,1352
ONT,SEA,1343
SEA,ONT,1343
SEA,JNU,1334
KTN,SEA,1289
SEA,KTN,1289
JNU,SEA,1209
ANC,JNU,1163
